
ap ÂP
ab AP
at ÂT
ad AT
ak ÂK
ag AK
aep ÂWP
aeb AWP
aet ÂWT
aed AWT
aek ÂWK
aeg AWK
ep P
eb VP
et T
ed VT
ek K
eg VK
wp ÊWP
wb EWP
wt ÊWT
wd EWT
wk ÊWK
wg EWK
oep ÔP
oeb OP
oet ÔT
oed OT
oek  ÔK
oeg OK
op ÔWP
ob OWP
ot ÔWT
od OWT
ok ÔWK
og OWK
ip ÎP
ib IP
it  ÎT
id IT
ik  ÎK
ig IK
up ÛP
ub UP
ut ÛT
ud IT
uk ÛK
ug UK
wep ÊWAWP
web EWAWP
wet  ÊWAWT
wed EWAWT
wek ÊWAWK
weg EWAWK
yat ÎAT
yad IAT
yak ÎAK
yag IAK
yaep  ÎAWP
yaeb IAWP
yaet   ÎAWT
yaed IAWT
yaek  ÎAWK
yaeg IAWK
yoep ÎOP
yoeb IOP
yoek ÎOK
yoeg IOK
yop ÎOWP
yob IOWP
yok ÎOWK
yog IOWK
vap ÛAP
vab UAP
vat ÛAT
vad UAT
vak ÛAK
vag UAK
vaep ÛAWP
vaet ÛAWT
vek ÛAWK
vaeb UAWP
vaed UAWT
veg UAWK
vwt ÛEWT
vwd UEWT
vwk ÛEWK
vwg UEWK
