a A
ai AI
au AU
am AM
an AN
ang AG
ae AWI
aeu AWU
aei AWI
aem AWM
aen AWN
aeng AWG
e V
e VW
eu VWU
em VM
em VWM
en VN
en VWN
eng VG
eng VWG
w E
ei EI
ou EU
w EW
wi EWI
wu EWU
wm EWM
wn EWN
wng EWG
oe O
oei OI
oem OM
oen ON
oeng OG
o OW
oi OWI
ou OWU
om OWM
on OWN
ong OWG
i I
iu IU
im IM
in IN
ing IG
u U
um UM
un UN
ung UG
wa EWAW
wem EWAWM
wen EWAWN
weng EWAWG
aw AWEW
ya IA
yai IAI
yau IAW
yam IAM
yan IAN
yang IAG
yae IAW
ie IAW
yae IAWI
yaeu IAWU
yaem IAWM
yaen IAWN
yaengIAWG
yoe IO
yoem IOM
yoeng IOG
yo IOW
yom IOWM
yong IOWG
va UA
vai UAI
vau UAU
vam UAM
van UAN
vang UAG
uo UAW
vae UAWI
vaem UAWM
vaen UAWN
vaeng UAWG
ve UVW
veu UVWU
vem UVWM
ven UVWN
veng UVWG
uo UAW
ue UAW
ui UEI
un UEN
od UET
vwi UEWI
vwn UEWN



